Symbol,Name,Sector,Price,52 Week High,52 Week Low,Dividend Yield,Earnings per Share,Sales per Share,Book Value per Share,EBITDA,Market Cap
HD,Home Depot,Consumer Discretionary,181.22,207.605,136.82,1.8610487,6.46,62.56646522,2.155328259,16513000000,2.23E+11
CSRA,CSRA Inc.,Information Technology,30.85,33.79,27.38,1.275917,1.83,23.15224972,2.713280563,543000000,5134501276
HBI,Hanesbrands Inc,Consumer Discretionary,19.57,25.73,18.9,2.7322404,1.41,11.97691424,3.171799028,926153000,8006268615
WYNN,Wynn Resorts Ltd,Consumer Discretionary,169.28,203.63,92.67,1.1279043,7.27,68.29502093,3.274908106,1501301000,18225400525
CDNS,Cadence Design Systems,Information Technology,36.82,46,29.01,0,0.74,6.401544438,3.353369763,455607000,10890625200
MAS,Masco Corp.,Industrials,40.7,46.445,31.29,0.98383695,1.47,17.63228328,3.411567477,1179000000,13428792315
SPGI,"S&P Global, Inc.",Financials,173.31,185.38,124.64,1.0947506,7.95,16.90053657,3.427808544,3021000000,46585950000
STX,Seagate Technology,Information Technology,47.44,56.45,30.6,5.085772,2.58,36.35650775,3.558889722,1811000000,14113197720
NRG,NRG Energy,Utilities,24,29.78,14.52,1.4195584,-2.23,24.16183354,3.566121842,1774000000,8030036023
ALLE,Allegion,Industrials,77.32,89.81,66.72,0.8004002,2.37,18.12797053,3.775390625,531800000,7599609494
HSY,The Hershey Company,Consumer Staples,97.65,116.49,98.851,2.6494346,3.66,34.38778526,3.80850234,1404123000,20867272020
ZTS,Zoetis,Health Care,71.51,80.13,52,0.68237203,1.65,7.705075027,3.953012714,1734000000,35991109776
SBUX,Starbucks Corp.,Consumer Discretionary,53.77,64.87,52.58,2.203452,1.97,15.63424849,4.024700599,7361500000,76548976000
SEE,Sealed Air,Materials,42.62,50.62,41.22,1.4427412,2.46,17.25501392,4.039810427,969700000,8001938397
MAT,Mattel Inc.,Consumer Discretionary,16,26.3,12.71,0,-3.06,13.48649269,4.134366925,-203599000,5843402350
ABBV,AbbVie Inc.,Health Care,108.48,125.86,60.05,2.4995599,3.29,17.24211648,4.149961744,10310000000,1.81E+11
SYY,Sysco Corp.,Consumer Staples,57,64.27,48.85,2.4644873,2.08,78.1299795,4.253731343,2988725000,30445320778
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,78.66,88.11,55.79,0.7315289,1.05,20.90439381,4.451612903,2815000000,26242415796
INTU,Intuit Inc.,Information Technology,152.75,170.59,111.9,0.96720195,3.72,15.85574685,4.559701493,1654000000,41233771565
AES,AES Corp,Utilities,10.06,12.05,10,4.961832,-1.72,15.25366041,4.572727273,3001000000,6920851212
FCX,Freeport-McMoRan Inc.,Materials,17.16,20.25,11.05,1.1198208,1.24,10.37588707,4.68852459,5347000000,25853969330
UA,Under Armour Class C,Consumer Discretionary,11.95,21.805,10.36,0,0.45,8.107858537,4.78,399277000,5366628950
UAA,Under Armour Class A,Consumer Discretionary,13.14,23.46,11.4,0,0.45,8.200670533,4.830882353,399277000,5856913571
KO,Coca-Cola Company (The),Consumer Staples,43.1,48.615,40.22,3.3213644,1.49,6.31766757,4.98265896,8589000000,1.90E+11
BF.B,Brown-Forman Corp.,Consumer Staples,63.33,69.9028,45.415,1.1216964,1.7,34.39717071,5.123786408,1139000000,5498033502
JWN,Nordstrom,Consumer Discretionary,47.23,53,37.7924,3.0020285,2.02,63.30809387,5.19010989,1448000000,8212509855
PAYX,Paychex Inc.,Information Technology,61.86,73.1,54.2,3.0892801,2.26,8.534194791,5.255734919,1414900000,23253666810
BSX,Boston Scientific,Health Care,25.2,29.93,23.29,0,0.07,6.213500309,5.271966527,1726000000,36142506007
AZO,AutoZone Inc,Consumer Discretionary,718.57,797.89,491.13,0,44.09,388.1973778,5.274682522,2347304000,19922021415
IPG,Interpublic Group,Consumer Discretionary,21.34,25.71,18.3,3.3802817,1.49,14.5042756,5.321695761,1074900000,8277363031
COG,Cabot Oil & Gas,Energy,23.01,29.57,21.4,1.0269576,-0.92,2.66420308,5.465558195,404951000,10808821635
CPB,Campbell Soup,Consumer Staples,44.83,64.23,43.5,3.125,2.89,18.75873261,5.667509482,1683000000,13467193376
K,Kellogg Co.,Consumer Staples,65.98,76.69,58.76,3.363962,1.95,28.47185291,5.737391304,1827000000,22182794875
NFX,Newfield Exploration Co,Energy,26.38,43.74,24.41,0,-6.5,5.608876738,5.849223947,896000000,5695123080
CLX,The Clorox Company,Consumer Staples,127.76,150.4,124.09,2.6286967,5.33,45.65004325,5.909343201,1295000000,16540418002
MA,Mastercard Inc.,Information Technology,160.62,177.11,105.8,0.5926628,3.65,10.69334584,5.964352024,7113000000,1.87E+11
WYN,Wyndham Worldwide,Consumer Discretionary,113.56,127.96,80.11,1.9541779,5.53,41.54824356,6.005288207,1232000000,11993835688
VZ,Verizon Communications,Telecommunication Services,49.04,54.77,42.8,4.626544,7.36,29.8069405,6.16080402,45745000000,2.08E+11
MO,Altria Group Inc,Consumer Staples,64.05,77.79,60.01,3.9526875,5.31,12.95069113,6.206395349,10773000000,1.27E+11
IRM,Iron Mountain Incorporated,Real Estate,32.07,41.53,32.05,7.08258,0.46,9.748127475,6.452716298,1116140000,9410249279
